station,hour,minute,day_of_week,predicted_bikes
41 - Instituto de Artes,5,45,Sexta,0
41 - Instituto de Artes,5,45,Sábado,0
41 - Instituto de Artes,5,45,Domingo,0
41 - Instituto de Artes,6,0,Segunda,0
41 - Instituto de Artes,6,0,Terça,0
41 - Instituto de Artes,6,0,Quarta,0
41 - Instituto de Artes,6,0,Quinta,0
41 - Instituto de Artes,6,0,Sexta,0
41 - Instituto de Artes,6,0,Sábado,0
41 - Instituto de Artes,6,0,Domingo,0
41 - Instituto de Artes,6,15,Segunda,0
41 - Instituto de Artes,6,15,Terça,0
41 - Instituto de Artes,6,15,Quarta,0
41 - Instituto de Artes,6,15,Quinta,0
41 - Instituto de Artes,6,15,Sexta,0
41 - Instituto de Artes,6,15,Sábado,0
41 - Instituto de Artes,6,15,Domingo,0
41 - Instituto de Artes,6,30,Segunda,0
41 - Instituto de Artes,6,30,Terça,0
41 - Instituto de Artes,6,30,Quarta,0
41 - Instituto de Artes,6,30,Quinta,0
41 - Instituto de Artes,6,30,Sexta,0
41 - Instituto de Artes,6,30,Sábado,0
41 - Instituto de Artes,6,30,Domingo,0
41 - Instituto de Artes,6,45,Segunda,0
41 - Instituto de Artes,6,45,Terça,0
41 - Instituto de Artes,6,45,Quarta,0
41 - Instituto de Artes,6,45,Quinta,0
41 - Instituto de Artes,6,45,Sexta,0
41 - Instituto de Artes,6,45,Sábado,0
41 - Instituto de Artes,6,45,Domingo,0
41 - Instituto de Artes,7,0,Segunda,0
41 - Instituto de Artes,7,0,Terça,0
41 - Instituto de Artes,7,0,Quarta,0
41 - Instituto de Artes,7,0,Quinta,0
41 - Instituto de Artes,7,0,Sexta,0
41 - Instituto de Artes,7,0,Sábado,0
41 - Instituto de Artes,7,0,Domingo,0
41 - Instituto de Artes,7,15,Segunda,0
41 - Instituto de Artes,7,15,Terça,0
41 - Instituto de Artes,7,15,Quarta,0
41 - Instituto de Artes,7,15,Quinta,0
41 - Instituto de Artes,7,15,Sexta,0
41 - Instituto de Artes,7,15,Sábado,0
41 - Instituto de Artes,7,15,Domingo,0
41 - Instituto de Artes,7,30,Segunda,0
41 - Instituto de Artes,7,30,Terça,0
41 - Instituto de Artes,7,30,Quarta,0
41 - Instituto de Artes,7,30,Quinta,0
41 - Instituto de Artes,7,30,Sexta,0
41 - Instituto de Artes,7,30,Sábado,0
41 - Instituto de Artes,7,30,Domingo,0
41 - Instituto de Artes,7,45,Segunda,0
41 - Instituto de Artes,7,45,Terça,0
41 - Instituto de Artes,7,45,Quarta,0
41 - Instituto de Artes,7,45,Quinta,0
41 - Instituto de Artes,7,45,Sexta,0
41 - Instituto de Artes,7,45,Sábado,0
41 - Instituto de Artes,7,45,Domingo,0
41 - Instituto de Artes,8,0,Segunda,5
41 - Instituto de Artes,8,0,Terça,5
41 - Instituto de Artes,8,0,Quarta,5
